Distancia_CA3,Angulo_CA3-C_3,Torsion_aa4,Omega_aa1,O_c3,C_c3,N_c4,O-O,N-N,Radio_Sitio_Menor,clase
5.73746355961,95.56090514639999,352.133026445,-1,14.0,42.0,7.0,54,12,4.04108353602,1
6.07607297888,104.94434569799999,354.249643425,-1,20.0,60.0,22.0,32,2,3.31380015193,1
5.90533480341,96.3192250715,352.133026445,-1,14.0,42.0,6.0,60,16,3.91920353323,1
5.30212694084,24.2705993568,61.3102921062,-1,25.0,37.0,11.0,54,12,1.9641859529099999,1
5.7529130962,95.66807757459999,352.133026445,-1,16.0,50.0,7.0,50,12,4.20183674298,1
6.52494251536,106.85359461200001,132.632751259,-1,25.0,50.0,16.0,28,4,4.32465154071,1
6.27865080854,30.6131720559,104.86318158899999,-1,22.0,55.0,16.0,46,12,3.7440132953,1
6.22477631607,106.88144702,92.0492912196,-1,20.0,40.0,7.0,30,8,3.8914305284,1
6.52295719359,104.403029426,132.632751259,-1,20.0,60.0,14.0,28,4,4.58816502485,1
5.138932142330001,68.7509392881,61.3102921062,-1,25.0,37.0,11.0,54,12,1.8583302398900001,1
6.34872691829,61.365195147899996,150.42602811,-1,0.0,75.0,18.0,24,2,3.89608576766,1
6.34072090557,102.569567111,92.0492912196,-1,16.0,50.0,7.0,30,8,4.63879421439,1
6.310641959090001,27.661624794699996,114.21630767399999,-1,0.0,66.0,0.0,8,2,3.42974724282,1
6.53657083631,77.0380838746,85.06896038560001,-1,20.0,60.0,0.0,4,6,3.94476383854,1
6.5089871847800005,76.4813765246,85.06896038560001,-1,20.0,60.0,0.0,8,2,3.53043585936,1
6.43554584572,72.3826358383,356.244278605,-1,0.0,75.0,0.0,8,2,3.6595457031,1
6.7149733423899995,25.5931073783,328.72805155,-1,0.0,66.0,0.0,6,0,3.5767112573000004,1
6.40259497855,76.9189358607,114.21630767399999,-1,20.0,60.0,0.0,4,6,4.32838666368,1
6.48930331217,43.9363316707,238.778995952,-1,16.0,66.0,0.0,4,6,4.285316503540001,1
6.4644562399300005,27.2454840566,114.21630767399999,-1,0.0,75.0,0.0,4,2,3.7736345615199993,1
6.39705966655,76.944562168,114.21630767399999,-1,20.0,60.0,0.0,4,6,4.32838666368,1
6.343255785989999,27.7814182966,155.688593932,-1,25.0,50.0,0.0,4,6,3.97762201727,1
6.37600610385,73.97249168350001,83.2385718184,-1,0.0,66.0,0.0,8,2,3.7409454778400004,1
6.39677861771,75.0876226827,85.06896038560001,-1,20.0,60.0,0.0,8,2,3.9393102665599997,1
6.721512442280001,75.7354476512,85.06896038560001,-1,16.0,66.0,0.0,8,2,3.6750891046099996,1
6.59068884763,73.9299556508,85.06896038560001,-1,16.0,66.0,0.0,8,2,4.63648411589,1
6.41367046278,75.9602483436,85.06896038560001,-1,20.0,60.0,0.0,4,6,4.05785484749,1
6.6519319321,46.679888006599995,238.778995952,-1,16.0,66.0,0.0,8,6,3.9053815176699995,1
6.36537521613,26.5940238458,114.21630767399999,-1,20.0,60.0,0.0,4,6,4.14078113465,1
6.697394281649999,44.9072830758,238.778995952,-1,12.0,75.0,0.0,4,6,4.36516466768,1
6.48668787357,47.5834175442,239.10796912900003,-1,37.0,50.0,33.0,38,16,1.83133090228,1
6.53904053469,137.66850299799998,212.375689728,-1,33.0,33.0,12.0,28,18,0.841206987289,1
6.20593691791,71.07555936989999,351.268967056,-1,0.0,100.0,44.0,26,16,2.40372184866,1
7.0666652327,72.3268910345,147.175712621,-1,25.0,75.0,25.0,14,6,0.0822091719224,1
6.48598061039,54.5771346083,73.8452431683,1,50.0,50.0,25.0,26,6,4.16164539526,1
7.48237754829,44.669502413800004,78.6282974538,-1,0.0,50.0,25.0,8,2,2.3166353382700002,1
6.35154139964,53.231207570200006,73.8452431683,1,33.0,66.0,25.0,32,16,2.36115587865,1
7.322555550900001,46.684794413,137.77000724799998,-1,0.0,66.0,16.0,12,4,3.4034338236900004,1
5.871474468220001,149.832705384,305.38820128099997,-1,0.0,75.0,28.0,20,4,2.16402668347,1
6.706281049199999,53.6459061525,73.8452431683,1,50.0,50.0,28.0,22,4,4.08251197101,1
6.1458939676,92.3464444542,37.3971306921,-1,25.0,25.0,15.0,40,24,1.19634664694,1
6.48027124756,112.93037233,317.772195253,-1,0.0,50.0,22.0,30,10,3.1730114973799997,1
5.710150183230001,18.611950082899998,91.0979762941,-1,11.0,66.0,27.0,24,24,3.30908048839,1
6.58241037025,94.753352235,37.3971306921,-1,50.0,0.0,20.0,26,16,1.16702867023,1
5.5771401644,14.2121436977,145.838684098,1,33.0,50.0,0.0,26,10,3.7160202630900003,1
6.5724162688,89.25778721180001,215.765714355,-1,33.0,0.0,0.0,18,6,2.8656703660900003,1
6.46345970138,24.7407211512,85.06896038560001,-1,14.0,71.0,0.0,4,6,4.9712059349599995,0
6.44574794419,89.4152861539,37.3971306921,-1,33.0,0.0,0.0,26,16,2.6776145929400004,0
5.33339356579,64.2889063323,329.36328909599996,-1,14.0,57.0,11.0,54,12,3.9702686066300004,0
6.420930053969999,104.358593659,80.7408121262,-1,16.0,33.0,0.0,26,8,4.64571072287,0
6.420930053969999,104.358593659,80.7408121262,-1,16.0,33.0,0.0,26,8,4.64571072287,0
6.5397767479799995,77.0544457462,85.06896038560001,-1,20.0,60.0,0.0,4,6,3.94476383854,0
6.65616044746,24.418807569200002,83.2385718184,-1,0.0,75.0,0.0,8,2,4.66074641664,0
6.4372730072,104.369727403,137.85138419,-1,0.0,75.0,18.0,20,2,4.17832114385,0
6.42040201436,27.2237136176,114.21630767399999,-1,0.0,75.0,0.0,4,2,3.7736345615199993,0
6.46345970138,24.7407211512,85.06896038560001,-1,14.0,71.0,0.0,4,6,4.9712059349599995,0
5.61923626489,27.977065218099998,61.3102921062,-1,0.0,57.0,11.0,60,16,3.9063997209300005,0
6.42040201436,27.2237136176,114.21630767399999,-1,0.0,75.0,0.0,4,2,3.7736345615199993,0
6.5397767479799995,77.0544457462,85.06896038560001,-1,20.0,60.0,0.0,4,6,3.94476383854,0
6.26338826064,39.0984136542,305.38820128099997,-1,28.0,57.0,33.0,16,6,2.14972744072,0
6.444576032660001,60.93372238,45.6989310342,-1,0.0,66.0,12.0,32,2,4.31106483472,0
7.40765912205,47.100478986800006,27.7561200317,-1,0.0,66.0,0.0,12,4,3.4034338236900004,0
6.65119199944,20.3806777751,244.25107841599998,-1,0.0,80.0,0.0,12,2,3.9387697384599996,0
6.65616044746,24.418807569200002,83.2385718184,-1,0.0,75.0,0.0,8,2,4.66074641664,0
6.90701964825,72.8096546224,78.6282974538,-1,0.0,50.0,0.0,12,6,2.1795554008400004,0
6.444576032660001,60.93372238,45.6989310342,-1,0.0,66.0,12.0,32,2,4.31106483472,0
6.44574794419,89.4152861539,37.3971306921,-1,33.0,0.0,0.0,26,16,2.6776145929400004,0
6.44574794419,89.4152861539,37.3971306921,-1,33.0,0.0,0.0,26,16,2.6776145929400004,0
5.33339356579,64.2889063323,329.36328909599996,-1,14.0,57.0,11.0,54,12,3.9702686066300004,0
6.420930053969999,104.358593659,80.7408121262,-1,16.0,33.0,0.0,26,8,4.64571072287,0
6.26338826064,39.0984136542,305.38820128099997,-1,28.0,57.0,33.0,16,6,2.14972744072,0
6.5397767479799995,77.0544457462,85.06896038560001,-1,20.0,60.0,0.0,4,6,3.94476383854,0
5.33339356579,64.2889063323,329.36328909599996,-1,14.0,57.0,11.0,54,12,3.9702686066300004,0
5.61923626489,27.977065218099998,61.3102921062,-1,0.0,57.0,11.0,60,16,3.9063997209300005,0
6.65616044746,24.418807569200002,83.2385718184,-1,0.0,75.0,0.0,8,2,4.66074641664,0
5.33339356579,64.2889063323,329.36328909599996,-1,14.0,57.0,11.0,54,12,3.9702686066300004,0
6.636215571059999,24.9215253059,83.2385718184,-1,0.0,66.0,0.0,8,2,3.76931054361,0
6.420930053969999,104.358593659,80.7408121262,-1,16.0,33.0,0.0,26,8,4.64571072287,0
6.59479261467,48.79466652439999,356.244278605,-1,14.0,71.0,0.0,10,6,3.93067135755,0
6.05126952309,61.107825589899996,150.42602811,-1,20.0,60.0,25.0,20,2,3.51944919508,0
5.33339356579,64.2889063323,329.36328909599996,-1,14.0,57.0,11.0,54,12,3.9702686066300004,0
5.33339356579,64.2889063323,329.36328909599996,-1,14.0,57.0,11.0,54,12,3.9702686066300004,0
6.4372730072,104.369727403,137.85138419,-1,0.0,75.0,18.0,20,2,4.17832114385,0
6.444576032660001,60.93372238,45.6989310342,-1,0.0,66.0,12.0,32,2,4.31106483472,0
6.42040201436,27.2237136176,114.21630767399999,-1,0.0,75.0,0.0,4,2,3.7736345615199993,0
6.65119199944,20.3806777751,244.25107841599998,-1,0.0,80.0,0.0,12,2,3.9387697384599996,0
6.44574794419,89.4152861539,37.3971306921,-1,33.0,0.0,0.0,26,16,2.6776145929400004,0
6.4372730072,104.369727403,137.85138419,-1,0.0,75.0,18.0,20,2,4.17832114385,0
6.65616044746,24.418807569200002,83.2385718184,-1,0.0,75.0,0.0,8,2,4.66074641664,0
6.636215571059999,24.9215253059,83.2385718184,-1,0.0,66.0,0.0,8,2,3.76931054361,0
5.61923626489,27.977065218099998,61.3102921062,-1,0.0,57.0,11.0,60,16,3.9063997209300005,0
5.61923626489,27.977065218099998,61.3102921062,-1,0.0,57.0,11.0,60,16,3.9063997209300005,0
